,1.14 MB,1.2 MB,1.21 MB,1.24 MB,1.26 MB,1.27 MB,1.33 MB,1.37 MB,1.44 MB
Извјештај за 01 Јануар 2025. год,678.0,,,,,,,,
Извјештај за 02 Фебруар 2025. год,661.0,,,,,,,,
Извјештај за 03 Март 2025. год,,,,,,665.0,,,
Извјештај за 04 Aприл 2025. год,,,,,,,,471.0,
Извјештај за 05 Мај 2025. год,,,,,459.0,,,,
Извјештај за 06 Јун 2025. год,,,421.0,,,,,,
Извјештај за 07 Јул 2025. год,,,,222.0,,,,,
Извјештај за 08 Август 2025. год,,172.0,,,,,,,
Извјештај за 09 Септембар 2025. год,,,,,,,107.0,,
Извјештај за 11 Новембар 2024. год,,,,,,,,,657.0
Извјештај за 12 Децембар 2024. год,,,,,,,,693.0,
